Part Type,Manufacturer,Part Name,HEM,In Shop,Price,Sell Price,Level,Level %,Steam Version,Platform Lock,Lighting,Type,No Fan,Air Flow,AM4,LGA 1151 (Skylake),LGA 1151 (Kaby Lake),LGA 1151 (Coffee Lake),LGA 1200,TR4,sTRX4,LGA 2066,AM3+,FM2,FM2+,LGA 2011-V3,LGA 2566,LGA 3647-V1,LGA 3647-V3,LGA 4189,LGA 4189 (2P),LGA 4926,LGA 5903,SP3r1,SP3r2,SP6,LGA 3647-V3 (2P),LGA 3647-V3 (4P),LGA 3647-V3 (8P),LGA 4926 (2P),LGA 5903 (2P),SP3r1 (2P),SP3r2 (2P),SP6 (2P),CPU Socket List,CPU Socket List (HEM),Height,Size,Slots,Thickness,Air Pressure,DLC2 Random Jobs,Exclude From Random Jobs,Asset Path,Full Part Name
CPU Cooler - Air,ARCTIC,Alpine 12 CO,,Y,15,5,3,1,1.0,,,Air Cooler,,45.0,,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,"LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200,","LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200,",77,,,,,,,Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Alpine_12LCO,ARCTIC Alpine 12 CO,ARCTIC Alpine 12 CO
CPU Cooler - Air,ARCTIC,Alpine 12 LP,,Y,15,5,3,35,1.0,,,Air Cooler,,35.0,,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,"LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200,","LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200,",54,,,,,,,Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Alpine_12LP,ARCTIC Alpine 12 LP,ARCTIC Alpine 12 LP
CPU Cooler - Air,ARCTIC,Alpine 12 Passive,,Y,37,12,14,70,1.0,,,Air Cooler,Y,28.0,,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,"LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200,","LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200,",69,,,,,,,Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Alpine12Passive,ARCTIC Alpine 12 Passive,ARCTIC Alpine 12 Passive
CPU Cooler - Air,ARCTIC,Alpine 23,,Y,30,10,30,1,1.15,,,Air Cooler,,35.0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AM4,","AM4,",65,,,,,,,v1_15_0/Prefabs/CoolerSystems/AirCoolers/Artic/AC_ARCTIC_Alpine_23,ARCTIC Alpine 23,ARCTIC Alpine 23
CPU Cooler - Air,ARCTIC,Alpine 23 CO,,Y,40,13,30,1,1.15,,,Air Cooler,,45.0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AM4,","AM4,",65,,,,,,,v1_15_0/Prefabs/CoolerSystems/AirCoolers/Artic/AC_ARCTIC_Alpine_23_CO,ARCTIC Alpine 23 CO,ARCTIC Alpine 23 CO
CPU Cooler - Air,ARCTIC,Alpine AM4 Passive,,Y,37,12,14,70,1.0,,,Air Cooler,Y,28.0,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,"AM3+, AM4,","AM3+, AM4,",70,,,,,,,Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_AlpineAM4Passive,ARCTIC Alpine AM4 Passive,ARCTIC Alpine AM4 Passive
CPU Cooler - Air,ARCTIC,Freezer 11 LP,,Y,25,31,1,60,1.12,,,Air Cooler,,40.0,,Y,Y,Y,Y,,,,,,,,Y,Y,Y,Y,,Y,,,,,,,,,,,,,"LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200,","LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2066, LGA 2566, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926,",59,,,,,,,v1_12_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_ARCTIC_FREEZER_11_LP,ARCTIC Freezer 11 LP,ARCTIC Freezer 11 LP
CPU Cooler - Air,ARCTIC,Freezer 12,,Y,25,8,13,50,1.0,,,Air Cooler,,50.0,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,,,,,,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566,",130,,,,,,,Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_12_White,ARCTIC Freezer 12,ARCTIC Freezer 12
CPU Cooler - Air,ARCTIC,Freezer 12 CO,,Y,75,25,13,60,1.10,PC,,Air Cooler,,40.0,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,,,,,,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566,",130,,,,,,,v1_10_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_12_CO,ARCTIC Freezer 12 CO,ARCTIC Freezer 12 CO
CPU Cooler - Air,ARCTIC,Freezer 33,,Y,25,8,13,30,1.0,,,Air Cooler,,53.0,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,,,,,,,,,,,,,,,,,,"AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066,","AM4, LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2011-V3, LGA 2066, LGA 2566,",150,,,,,,,Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_33,ARCTIC Freezer 33,ARCTIC Freezer 33
