Part Type,Manufacturer,Part Name,HEM,In Shop,Price,Sell Price,Level,Level %,Steam Version,Platform Lock,Is DLC,Lighting,Size,Mini-ITX,Micro-ATX,S-ATX,E-ATX,XL-ATX,SSI-EEB,PSU ATX,PSU SFX,Max 120mm Radiators,Max 140mm Radiators,Max PSU length,Max GPU length,Max CPU Fan Height,Exclude From Random Jobs,Use For WC Jobs,DLC Epic Id,Is Open Bench,Case Fan Type 1 Count,Case Fan Type 1 Model,Case Fan Type 1 Decorator,Case Fan Type 2 Count,Case Fan Type 2 Model,Case Fan Type 2 Decorator,Case Fan Type 3 Count,Case Fan Type 3 Model,Case Fan Type 3 Decorator,Restricted GPU length,Inherent Cooling,Price of Case Fans,Price of Case Without Case Fans,DLC2 Random Jobs,Asset Path,Full Part Name
Case,ADATA,XPG Battlecruiser (Black),,Y,180,60,28,1,1.8,PC,,,Mid Tower,Y,Y,Y,Y,,,Y,,3,2,225.0,400,170,Y,Y,,,4,Mortoni Heat Away RGB 120,,,,,,,,,0.0,40,140,Exclude,v1_8_0/Prefabs/Cases/ADATA/CAS_ADATA_XPG_Battlecruiser_Black,ADATA XPG Battlecruiser (Black),ADATA XPG Battlecruiser (Black)
Case,ADATA,XPG Battlecruiser (White),,Y,180,60,28,1,1.8,PC,,,Mid Tower,Y,Y,Y,Y,,,Y,,3,2,225.0,400,170,Y,Y,,,4,Mortoni Heat Away RGB 120,,,,,,,,,0.0,40,140,Exclude,v1_8_0/Prefabs/Cases/ADATA/CAS_ADATA_XPG_Battlecruiser_White,ADATA XPG Battlecruiser (White),ADATA XPG Battlecruiser (White)
Case,ADATA,XPG Defender Pro (Black),,Y,140,47,31,20,1.13,PC,,,Mid Tower,Y,Y,Y,Y,,Y,Y,,3,2,220.0,380,170,Y,Y,,,3,ADATA XPG VENTO 120,,,,,,,,,0.0,90,50,Exclude,v1_13_0/Prefabs/Cases/XPG/CAS_XPG_DEFENDER_PRO,ADATA XPG Defender Pro (Black),ADATA XPG Defender Pro (Black)
Case,ADATA,XPG Defender Pro (White),,Y,140,47,31,20,1.13,PC,,,Mid Tower,Y,Y,Y,Y,,Y,Y,,3,2,220.0,380,170,Y,Y,,,3,ADATA XPG VENTO 120,,,,,,,,,0.0,90,50,Exclude,v1_13_0/Prefabs/Cases/XPG/XPG_DEFENDER_PRO_WHITE_MS,ADATA XPG Defender Pro (White),ADATA XPG Defender Pro (White)
Case,Antec,Dark Avenger DA601,,Y,85,28,6,50,1.2,,,RGB,Mid Tower,,Y,Y,Y,,,Y,,3,2,200.0,400,160,,Y,,,1,Mortoni Heat Away 120,,1.0,Antec Prizm 120 ARGB,,,,,,0.0,27,58,Exclude,Prefabs/Cases/Antec/CAS_Antec_Dark_Avenger_DA601,Antec Dark Avenger DA601,Antec Dark Avenger DA601
Case,Antec,DF500,,Y,60,20,1,1,1.0,,,,Mid Tower,Y,Y,Y,,,,Y,,3,0,200.0,380,155,,Y,,,1,Mortoni Heat Away 120,,,,,,,,,0.0,7,53,,Prefabs/Cases/Antec/Antec_DF500,Antec DF500,Antec DF500
Case,Antec,P110 Luce,,Y,105,35,14,48,1.0,,,,Mid Tower,Y,Y,Y,,,,Y,,3,2,200.0,390,165,,Y,,,2,Mortoni Heat Away 120,,,,,,,,,0.0,14,91,,Prefabs/Cases/Antec/Antec_P110_LUCE,Antec P110 Luce,Antec P110 Luce
Case,Antec,P120 Crystal,,Y,100,33,5,1,1.10,PC,,,Mid Tower,Y,Y,Y,Y,,,Y,,3,2,294.0,450,185,Y,Y,,,0,,,,,,,,,,0.0,0,100,Exclude,v1_10_0/Prefabs/Cases/Antec/CAS_Antec_P120_Crystal,Antec P120 Crystal,Antec P120 Crystal
Case,Antec,P6,,Y,85,28,13,30,1.0,,,,Micro,Y,Y,,,,,Y,,2,1,160.0,390,160,,Y,,,1,Mortoni Heat Away 120,,,,,,,,,0.0,7,78,,Prefabs/Cases/Antec/Antec_P6,Antec P6,Antec P6
Case,Antec,P8,,Y,85,28,13,30,1.0,,,,Mid Tower,Y,Y,Y,,,,Y,,3,2,240.0,390,165,,Y,,,3,Mortoni Heat Away 120,,,,,,,,,0.0,21,64,,Prefabs/Cases/Antec/Antec_P8,Antec P8,Antec P8
Case,ASUS,ROG Strix Helios,,Y,330,110,33,1,1.10,PC,,RGB,Mid Tower,Y,Y,Y,Y,,,Y,,3,3,220.0,450,190,Y,Y,,,4,Mortoni Heat Away 140,,,,,,,,,0.0,28,302,,v1_10_0/Prefabs/Cases/ASUS/CAS_ASUS_Strix_Helios,ASUS ROG Strix Helios,ASUS ROG Strix Helios
Case,be quiet!,Dark Base 700 (Black),,Y,180,60,25,1,1.1,,,RGB,Mid Tower,Y,Y,Y,Y,,,Y,,3,3,285.0,430,180,,Y,,,3,be quiet! Silent Wings 3 140mm,,,,,,,,286.0,0.0,24,156,,Prefabs/Cases/bequiet/CAS_bequiet_DARKBASE700,be quiet! Dark Base 700 (Black),be quiet! Dark Base 700 (Black)
Case,be quiet!,Dark Base 700 (White),,Y,180,60,25,1,1.1,,,RGB,Mid Tower,Y,Y,Y,Y,,,Y,,3,3,285.0,430,180,,Y,,,3,be quiet! Silent Wings 3 140mm,,,,,,,,286.0,0.0,24,156,,Prefabs/Cases/bequiet/CAS_bequiet_DARKBASE700_White,be quiet! Dark Base 700 (White),be quiet! Dark Base 700 (White)
Case,be quiet!,Dark Base 900 (Black),,Y,200,67,25,50,1.1,,,,Full Tower,Y,Y,Y,Y,,,Y,,4,3,284.0,472,185,,Y,,,3,be quiet! Silent Wings 3 140mm,,,,,,,,323.0,0.0,24,176,,Prefabs/Cases/bequiet/CAS_bequiet_DARKBASE900_Black,be quiet! Dark Base 900 (Black),be quiet! Dark Base 900 (Black)
Case,be quiet!,Dark Base 900 (Orange),,Y,200,67,25,50,1.1,,,,Full Tower,Y,Y,Y,Y,,,Y,,4,3,284.0,472,185,,Y,,,3,be quiet! Silent Wings 3 140mm,,,,,,,,323.0,0.0,24,176,Exclude,Prefabs/Cases/bequiet/CAS_bequiet_DARKBASE900_Orange,be quiet! Dark Base 900 (Orange),be quiet! Dark Base 900 (Orange)
Case,be quiet!,Dark Base 900 (Silver),,Y,200,67,25,50,1.1,,,,Full Tower,Y,Y,Y,Y,,,Y,,4,3,284.0,472,185,,Y,,,3,be quiet! Silent Wings 3 140mm,,,,,,,,323.0,0.0,24,176,,Prefabs/Cases/bequiet/CAS_bequiet_DARKBASE900_Gray,be quiet! Dark Base 900 (Silver),be quiet! Dark Base 900 (Silver)
Case,be quiet!,Dark Base Pro 900 rev. 2 (Black),,Y,280,93,26,50,1.1,,,,Full Tower,Y,Y,Y,Y,,,Y,,3,3,284.0,472,185,,Y,,,3,be quiet! Silent Wings 3 140mm,,,,,,,,323.0,0.0,24,256,,Prefabs/Cases/bequiet/CAS_bequiet_DARKBASEPRO900_Black,be quiet! Dark Base Pro 900 rev. 2 (Black),be quiet! Dark Base Pro 900 rev. 2 (Black)
