Part Type,Chipset Brand,Chipset Series,Chipset,Manufacturer,Part Name,HEM,In Shop,Part Ranking Score,Price,Sell Price,Level,Level %,Steam Version,Platform Lock,Lighting,VRAM (GB),GPU Tuner Min Core Freq,Base Core Freq,OC Base Core Freq,Max Core Freq,GPU Tuner Min Mem Freq,Base Mem Freq,OC Base Mem Freq,Max Mem Freq,Length,Wattage,Multi-GPU,Slot Size,GPU Thermal Throttling,GPU % Power Increase,Power Connectors,Rigid SLI Bridge Model,Score to value ratio,Target STV ratio,Single GPU Graphics Score,Double GPU Graphics Score,Dual GPU performance increase,OC Single GPU score,OC Double GPU score,GT1 Single Core Clock Multiplier,GT1 Single Mem Clock Multiplier,GT1 Single Benchmark Adjustment,GT2 Single Core Clock Multiplier,GT2 Single Mem Clock Multiplier,GT2 Single Benchmark Adjustment,GT1 Dual Core Clock Multiplier,GT1 Dual Mem Clock Multiplier,GT1 Dual Benchmark Adjustment,GT2 Dual Core Clock Multiplier,GT2 Dual Mem Clock Multiplier,GT2 Dual Benchmark Adjustment,Normal GPU max clock,Normal GPU Max mem clock,Boost Multiplier,Score increase,Is AIO,Next Part ID In Combo,Exclude From Random Jobs,DLC2 Random Jobs,Chipset Series Sort,Asset Path,Full Part Name
GPU,NVIDIA GeForce,GTX 700,GeForce GTX 750 Ti,Shean,GeForce GTX 750 Ti GAMER,,Y,756,90,30,1,1,1.0,,,2,770,1085,1290,1400,1000,1350,1525,1700,147,60,,1.5,95,20,,,12.9,13.0,1163,0,,1340.0,0.0,0.005024,0.000815,1.012608,0.004279,0.00071,1.081581,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,101,Prefabs/Generic/GPU,Shean GeForce GTX 750 Ti GAMER,Shean GeForce GTX 750 Ti GAMER
GPU,NVIDIA GeForce,GTX 900,GeForce GTX 950,MSI,GeForce GTX 950 GAMING 2G,,Y,1217,140,47,1,1,1.0,,White,2,1132,1316,1400,1500,1326,1663,1850,2000,270,90,SLI,2.0,95,20,8-pin + 6-pin,,13.2,13.0,1846,3717,2.013542795232936,1998.0,4206.0,0.007772,0.001791,-1.02847,0.007074,0.001511,-1.35265,0.012103,0.011235,-9.98906,0.01075,0.010384000000000001,-10.4128,,,,,,,,,102,Prefabs/GPU/MSI/MSI_GTX_950G2G,MSI GeForce GTX 950 GAMING 2G,MSI GeForce GTX 950 GAMING 2G
GPU,NVIDIA GeForce,GTX 900,GeForce GTX 960,MSI,GeForce GTX 960 GAMING 100ME,,Y,1451,180,60,1,1,1.0,,Green,2,908,1304,1525,1700,1306,1753,2000,2200,267,120,SLI,2.0,95,20,8-pin + 6-pin,,12.4,12.5,2225,4386,1.9712359550561798,2598.0,5144.0,0.007122,0.003506,-0.92227,0.006958,0.002396,-0.52671,0.014258,0.006904,-1.87814,0.012099,0.007006,-3.10231,,,,,,,,,102,Prefabs/GPU/MSI/MSI_GTX_960G100ME,MSI GeForce GTX 960 GAMING 100ME,MSI GeForce GTX 960 GAMING 100ME
GPU,NVIDIA GeForce,GTX 900,GeForce GTX 960,MSI,GeForce GTX 960 GAMING 2G,,Y,1451,180,60,1,1,1.0,,White,2,908,1304,1525,1700,1306,1753,2000,2200,267,120,SLI,2.0,95,20,8-pin + 6-pin,,12.4,12.5,2225,4386,1.9712359550561798,2598.0,5144.0,0.007122,0.003506,-0.92227,0.006958,0.002396,-0.52671,0.014258,0.006904,-1.87814,0.012099,0.007006,-3.10231,,,,,,,,,102,Prefabs/GPU/MSI/MSI_GTX_960G2G,MSI GeForce GTX 960 GAMING 2G,MSI GeForce GTX 960 GAMING 2G
GPU,NVIDIA GeForce,GTX 900,GeForce GTX 960,MSI,GeForce GTX 960 GAMING 2G LE,,Y,1388,170,57,1,1,1.0,,White,2,732,1216,1525,1700,1306,1753,2000,2200,267,120,SLI,2.0,95,20,8-pin + 6-pin,,12.5,12.5,2123,4197,1.9769194536033914,2598.0,5144.0,0.007122,0.003506,-0.92227,0.006958,0.002396,-0.52671,0.014258,0.006904,-1.87814,0.012099,0.007006,-3.10231,,,,,,,,,102,Prefabs/GPU/MSI/MSI_GTX_960G2GLE,MSI GeForce GTX 960 GAMING 2G LE,MSI GeForce GTX 960 GAMING 2G LE
GPU,NVIDIA GeForce,GTX 900,GeForce GTX 960,MSI,GeForce GTX 960 GAMING 4G,,Y,1451,180,60,1,1,1.0,,White,4,908,1304,1525,1700,1306,1753,2000,2200,267,120,SLI,2.0,95,20,8-pin + 6-pin,,12.4,12.5,2225,4386,1.9712359550561798,2598.0,5144.0,0.007122,0.003506,-0.92227,0.006958,0.002396,-0.52671,0.014258,0.006904,-1.87814,0.012099,0.007006,-3.10231,,,,,,,,,102,Prefabs/GPU/MSI/MSI_GTX_960G4G,MSI GeForce GTX 960 GAMING 4G,MSI GeForce GTX 960 GAMING 4G
GPU,NVIDIA GeForce,GTX 900,GeForce GTX 960,MSI,GeForce GTX 960 GAMING 4G LE,,Y,1388,170,57,1,1,1.0,,White,4,732,1216,1525,1700,1306,1753,2000,2200,267,120,SLI,2.0,95,20,8-pin + 6-pin,,12.5,12.5,2123,4197,1.9769194536033914,2598.0,5144.0,0.007122,0.003506,-0.92227,0.006958,0.002396,-0.52671,0.014258,0.006904,-1.87814,0.012099,0.007006,-3.10231,,,,,,,,,102,Prefabs/GPU/MSI/MSI_GTX_960G4GLE,MSI GeForce GTX 960 GAMING 4G LE,MSI GeForce GTX 960 GAMING 4G LE
GPU,NVIDIA GeForce,GTX 900,GeForce GTX 960,MSI,GeForce GTX 960 GAMING LE 100ME,,Y,1388,170,57,1,1,1.0,,White,2,732,1216,1525,1700,1306,1753,2000,2200,267,120,SLI,2.0,95,20,8-pin + 6-pin,,12.5,12.5,2123,4197,1.9769194536033914,2598.0,5144.0,0.007122,0.003506,-0.92227,0.006958,0.002396,-0.52671,0.014258,0.006904,-1.87814,0.012099,0.007006,-3.10231,,,,,,,,,102,Prefabs/GPU/MSI/MSI_GTX_960GLE100ME,MSI GeForce GTX 960 GAMING LE 100ME,MSI GeForce GTX 960 GAMING LE 100ME
GPU,NVIDIA GeForce,GTX 900,GeForce GTX 970,MSI,GeForce GTX 970 GAMING 100ME,,Y,2215,280,93,3,70,1.0,,Green,4,806,1253,1525,1700,1306,1753,2000,2200,277,148,SLI,2.0,95,20,8-pin + 6-pin,,12.1,12.0,3377,6546,1.9384068700029613,4123.0,7957.0,0.015306,0.002396,-1.22474,0.014656,0.00146,-1.67781,0.033008,0.0,1.78075,0.030307,0.0,-0.83255,,,,,,,,,102,Prefabs/GPU/MSI/MSI_GTX_970G100ME,MSI GeForce GTX 970 GAMING 100ME,MSI GeForce GTX 970 GAMING 100ME
GPU,NVIDIA GeForce,GTX 900,GeForce GTX 970,MSI,GeForce GTX 970 GAMING 4G,,Y,2100,265,88,3,35,1.0,,White,4,656,1178,1525,1700,1306,1753,2000,2200,277,148,SLI,2.0,95,20,8-pin + 6-pin,,12.0,12.0,3193,6157,1.928280613842781,4123.0,7957.0,0.015306,0.002396,-1.22474,0.014656,0.00146,-1.67781,0.033008,0.0,1.78075,0.030307,0.0,-0.83255,,,,,,,,,102,Prefabs/GPU/MSI/MSI_GTX_970G4G,MSI GeForce GTX 970 GAMING 4G,MSI GeForce GTX 970 GAMING 4G
