Part Type,Manufacturer,Part Name,HEM,In Shop,Price,Sell Price,Level,Level %,Steam Version,Platform Lock,Lighting,Type,No Fan,Air Flow,AM4,LGA 1151 (Skylake),LGA 1151 (Kaby Lake),LGA 1151 (Coffee Lake),LGA 1200,TR4,sTRX4,LGA 2066,AM3+,FM2,FM2+,LGA 2011-V3,LGA 2566,LGA 3647-V1,LGA 3647-V3,LGA 4189,LGA 4189 (2P),LGA 4926,LGA 5903,SP3r1,SP3r2,SP6,LGA 3647-V3 (2P),LGA 3647-V3 (4P),LGA 3647-V3 (8P),LGA 4926 (2P),LGA 5903 (2P),SP3r1 (2P),SP3r2 (2P),SP6 (2P),CPU Socket List,CPU Socket List (HEM),Height,Size,Slots,Thickness,Air Pressure,DLC2 Random Jobs,Exclude From Random Jobs,Asset Path,Full Part Name
CPU Cooler - Air,ARCTIC,Alpine 12 CO,,Y,15,5,3,1,1.0,,,Air Cooler,,45.0,,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,"LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200,","LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200,",77,,,,,,,Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Alpine_12LCO,ARCTIC Alpine 12 CO
CPU Cooler - Air,ARCTIC,Alpine 12 LP,,Y,15,5,3,35,1.0,,,Air Cooler,,35.0,,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,"LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200,","LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200,",54,,,,,,,Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Alpine_12LP,ARCTIC Alpine 12 LP
CPU Cooler - Air,ARCTIC,Alpine 12 Passive,,Y,37,12,14,70,1.0,,,Air Cooler,Y,28.0,,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,"LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200,","LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200,",69,,,,,,,Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Alpine12Passive,ARCTIC Alpine 12 Passive
CPU Cooler - Air,ARCTIC,Alpine 23,,Y,30,10,30,1,1.15,,,Air Cooler,,35.0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AM4,","AM4,",65,,,,,,,v1_15_0/Prefabs/CoolerSystems/AirCoolers/Artic/AC_ARCTIC_Alpine_23,ARCTIC Alpine 23
CPU Cooler - Air,ARCTIC,Alpine 23 CO,,Y,40,13,30,1,1.15,,,Air Cooler,,45.0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AM4,","AM4,",65,,,,,,,v1_15_0/Prefabs/CoolerSystems/AirCoolers/Artic/AC_ARCTIC_Alpine_23_CO,ARCTIC Alpine 23 CO
CPU Cooler - Air,ARCTIC,Alpine AM4 Passive,,Y,37,12,14,70,1.0,,,Air Cooler,Y,28.0,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,"AM3+, AM4,","AM3+, AM4,",70,,,,,,,Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_AlpineAM4Passive,ARCTIC Alpine AM4 Passive
CPU Cooler - Air,ARCTIC,Alpine Universal CO,Y,Y,25,9,7,1,,,,Air Cooler,,45.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,,,,,,,,"LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), TR4, LGA 2066, LGA 2566, AM4, sTRX4, LGA 2011-V3, FM2+, FM2, LGA 1200, AM3+, SP3r1, SP3r2, SP6, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926, LGA 5903,",77,,,,,,,Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Alpine_12LCO,ARCTIC Alpine Universal CO
CPU Cooler - Air,ARCTIC,Alpine Universal Passive,Y,Y,50,15,19,70,,,,Air Cooler,Y,95.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,,,,,,,,,"LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), TR4, LGA 2066, LGA 2566, AM4, sTRX4, LGA 2011-V3, FM2+, FM2, LGA 1200, AM3+, SP3r1, SP3r2, SP6, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926, LGA 5903,",69,,,,,,,Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Alpine12Passive,ARCTIC Alpine Universal Passive
CPU Cooler - Air,ARCTIC,Freezer 100 TR/SP3/SP6,Y,Y,185,95,24,35,,PC,RGB,Air Cooler,,185.0,,,,,,Y,Y,,,,,,,,,,,,,Y,Y,Y,,,,,,,,,,"TR4, sTRX4, SP3r1, SP3r2, SP6,",165,,,,3.5,,,v1_8_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_Arctic_Freezer_50TR,ARCTIC Freezer 100 TR/SP3/SP6
CPU Cooler - Air,ARCTIC,Freezer 11 LP,,Y,25,31,1,60,1.12,,,Air Cooler,,40.0,,Y,Y,Y,Y,,,,,,,,Y,Y,Y,Y,,Y,,,,,,,,,,,,,"LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200,","LGA 1151 (Coffee Lake), LGA 1151 (Kaby Lake), LGA 1151 (Skylake), LGA 1200, LGA 2066, LGA 2566, LGA 3647-V1, LGA 3647-V3, LGA 4189, LGA 4926,",59,,,,,,,v1_12_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_ARCTIC_FREEZER_11_LP,ARCTIC Freezer 11 LP
CPU Cooler - Air,ARCTIC,Freezer 11 LP 2X,Y,Y,50,62,16,1,,,,Air Cooler,,80.0,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,Y,,,,,,"LGA 3647-V3 (2P), LGA 4189 (2P), LGA 4926 (2P),",59,,,,,,,v1_12_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_ARCTIC_FREEZER_11_LP,ARCTIC Freezer 11 LP 2X
CPU Cooler - Air,ARCTIC,Freezer 11 LP 4X,Y,Y,100,124,18,95,,,,Air Cooler,,160.0,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,"LGA 3647-V3 (4P),",59,,,,,,,v1_12_0/Prefabs/CoolingSystems/AirCoolers/Arctic/AC_ARCTIC_FREEZER_11_LP,ARCTIC Freezer 11 LP 4X
