Part Type,Manufacturer,Series,Part Name,HEM,In Shop,Part Ranking Score,Price,Sell Price,Level,Level %,Steam Version,Platform Lock,Frequency,Cores,Socket,Wattage,Can Overclock,Thermal Throttling,Voltage,Basic CPU Score,Score to value ratio,Default Memory Speed,% increase,Overclock Basic CPU Score,Overclock CPU score increase,Multiplier Step,Number of dies,Max Memory Channels,OC Base Voltage,OC Base Freq,CoreClockMultiplier,MemChannelsMultiplier,MemClockMultiplier,FinalAdjustment,DLC2 Random Jobs,Asset Path,Full Part Name
CPU,AMD,AMD Athlon,Athlon 200GE,Y,Y,792,55,7,3,1,,,3200,2,AM4,35,Y,95,1.25,2362,21.0,2666,16.2,2718,13.6,0.25,1.0,2,1.6,3600,0.00103,0.40477,0.000346,2.90125,,Prefabs/CPU/AMD/Ryzen_3_QuadCore_1200,AMD Athlon 200GE
CPU,AMD,AMD Athlon,Athlon 220GE,Y,Y,831,65,20,3,50,,,3400,2,AM4,35,Y,95,1.35,2479,10.8,3200,2.4,11765,1.0,0.25,2.0,2,1.6,3700,0.00103,0.40477,0.000346,2.90125,,Prefabs/CPU/AMD/Ryzen_3_QuadCore_1200,AMD Athlon 220GE
CPU,AMD,AMD Athlon,Athlon 240GE,Y,Y,842,75,20,3,75,,,3500,2,AM4,35,Y,95,1.35,2510,10.8,3200,2.4,11765,1.0,0.25,2.0,2,1.6,4000,0.00103,0.40477,0.000346,2.90125,,Prefabs/CPU/AMD/Ryzen_3_QuadCore_1200,AMD Athlon 240GE
CPU,AMD,AMD Athlon,Athlon 3000G,Y,Y,878,85,7,4,1,,,3500,2,AM4,35,Y,95,1.25,2617,21.0,2933,16.2,2718,13.6,0.25,1.0,2,1.6,4200,0.00103,0.40477,0.0005,2.90125,,Prefabs/CPU/AMD/Ryzen_3_QuadCore_1200,AMD Athlon 3000G
CPU,AMD,AMD Athlon,Athlon 3000GE,Y,Y,888,115,50,32,1,,,3600,2,AM4,35,Y,95,1.25,2647,21.0,2933,16.2,2718,13.6,0.25,1.0,2,1.6,4200,0.00103,0.40477,0.0005,2.90125,,Prefabs/CPU/AMD/Ryzen_3_QuadCore_1200,AMD Athlon 3000GE
CPU,AMD,AMD Athlon,Athlon 3000GEX,Y,Y,929,145,85,32,65,,,4000,2,AM4,65,Y,95,1.25,2770,21.0,2933,16.2,2718,13.6,0.25,1.0,2,1.6,4600,0.00103,0.40477,0.0005,2.90125,,Prefabs/CPU/AMD/Ryzen_3_QuadCore_1200,AMD Athlon 3000GEX
CPU,AMD,AMD EPYC 7001,EPYC 7251,Y,Y,2186,600,225,18,1,,,2900,8,SP3r1,120,Y,95,1.35,6516,12.0,2666,2.9,9711,2.25,0.25,2.0,4,1.65,3500,0.008827,4.868455,0.005949,-39.0637,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_SixteenCore_1950X,AMD EPYC 7251
CPU,AMD,AMD EPYC 7001,EPYC 7261,Y,Y,2303,785,287,18,45,,,2900,8,SP3r1,155,Y,95,1.35,6864,12.0,2666,2.9,9711,2.0,0.25,2.0,4,1.65,3850,0.010827,4.868455,0.006049,-43.9637,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_SixteenCore_1950X,AMD EPYC 7261
CPU,AMD,AMD EPYC 7001,EPYC 7281,Y,Y,2903,1050,365,19,15,,,2700,16,SP3r1,155,Y,95,1.35,8652,12.0,2666,2.9,9711,1.55,0.25,2.0,4,1.65,3400,0.009827,4.868455,0.005549,-31.7637,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_SixteenCore_1950X,AMD EPYC 7281
CPU,AMD,AMD EPYC 7001,EPYC 7301,Y,Y,3026,1350,550,19,35,,,2700,16,SP3r1,170,Y,95,1.35,9020,12.0,2666,2.9,9711,1.55,0.25,2.0,4,1.65,3700,0.012827,4.868455,0.006349,-40.7637,,Prefabs/CPU/AMD/Ryzen_ThreadRipper_SixteenCore_1950X,AMD EPYC 7301
