Part Type,Manufacturer,Part Name,HEM,In Shop,Price,Level,Level %,Steam Version,Style,Material,Pattern,Color,Can Sell,Start In Freebuild Inventory,DLC2 Random Jobs,Start In Career Inventory,Asset Path,Full Part Name
Cable,,Loose Plastic Black,,Y,100,1,1,1.0,Loose,Plastic,Plain,Black,,Y,,Y,Prefabs/Cables/Loose_Plastic_Black,Loose Plastic Black
Cable,,Loose Plastic Light Grey,,Y,100,1,1,1.0,Loose,Plastic,Plain,Light Grey,,Y,,Y,Prefabs/Cables/Loose_Plastic_Light_Grey,Loose Plastic Light Grey
Cable,,Loose Plastic White,,Y,100,1,1,1.0,Loose,Plastic,Plain,White,,Y,,Y,Prefabs/Cables/Loose_Plastic_White,Loose Plastic White
Cable,,Ribbon Braided Black,,Y,200,9,1,1.0,Ribbon,Braided,Plain,Black,,Y,,,Prefabs/Cables/Ribbon_Braided_Black,Ribbon Braided Black
Cable,,Ribbon Braided Blue,,Y,200,10,1,1.0,Ribbon,Braided,Plain,Blue,,Y,,,Prefabs/Cables/Ribbon_Braided_Blue,Ribbon Braided Blue
Cable,,Ribbon Braided Cyan,,Y,200,13,1,1.0,Ribbon,Braided,Plain,Cyan,,Y,,,Prefabs/Cables/Ribbon_Braided_Cyan,Ribbon Braided Cyan
Cable,,Ribbon Braided Dark Grey,,Y,200,13,1,1.0,Ribbon,Braided,Plain,Dark Grey,,Y,,,Prefabs/Cables/Ribbon_Braided_Grey_Dark,Ribbon Braided Dark Grey
Cable,,Ribbon Braided Green,,Y,200,11,1,1.0,Ribbon,Braided,Plain,Green,,Y,,,Prefabs/Cables/Ribbon_Braided_Green,Ribbon Braided Green
Cable,,Ribbon Braided Light Grey,,Y,200,13,1,1.0,Ribbon,Braided,Plain,Light Grey,,Y,,,Prefabs/Cables/Ribbon_Braided_Grey_Light,Ribbon Braided Light Grey
Cable,,Ribbon Braided Lime,,Y,200,13,1,1.0,Ribbon,Braided,Plain,Lime,,Y,,,Prefabs/Cables/Ribbon_Braided_Lime,Ribbon Braided Lime
Cable,,Ribbon Braided Orange,,Y,200,11,1,1.0,Ribbon,Braided,Plain,Orange,,Y,,,Prefabs/Cables/Ribbon_Braided_Orange,Ribbon Braided Orange
Cable,,Ribbon Braided Pink,,Y,200,12,1,1.0,Ribbon,Braided,Plain,Pink,,Y,,,Prefabs/Cables/Ribbon_Braided_Pink,Ribbon Braided Pink
Cable,,Ribbon Braided Purple,,Y,200,12,1,1.0,Ribbon,Braided,Plain,Purple,,Y,,,Prefabs/Cables/Ribbon_Braided_Purple,Ribbon Braided Purple
Cable,,Ribbon Braided Rainbow,,Y,400,30,1,1.0,Ribbon,Braided,,Rainbow,,Y,,,Prefabs/Cables/Ribbon_Braided_Rainbow,Ribbon Braided Rainbow
Cable,,Ribbon Braided Red,,Y,200,10,1,1.0,Ribbon,Braided,Plain,Red,,Y,,,Prefabs/Cables/Ribbon_Braided_Red,Ribbon Braided Red
Cable,,Ribbon Braided White,,Y,200,9,1,1.0,Ribbon,Braided,Plain,White,,Y,,,Prefabs/Cables/Ribbon_Braided_White,Ribbon Braided White
Cable,,Ribbon Braided Yellow,,Y,200,13,1,1.0,Ribbon,Braided,Plain,Yellow,,Y,,,Prefabs/Cables/Ribbon_Braided_Yellow,Ribbon Braided Yellow
Cable,,Ribbon Plastic Black,,Y,100,1,1,1.0,Ribbon,Plastic,Plain,Black,,Y,,,Prefabs/Cables/Ribbon_Plastic_Black,Ribbon Plastic Black
Cable,,Ribbon Plastic Blue,,Y,100,5,1,1.0,Ribbon,Plastic,Plain,Blue,,Y,,,Prefabs/Cables/Ribbon_Plastic_Blue,Ribbon Plastic Blue
Cable,,Ribbon Plastic Cyan,,Y,100,8,1,1.0,Ribbon,Plastic,Plain,Cyan,,Y,,,Prefabs/Cables/Ribbon_Plastic_Cyan,Ribbon Plastic Cyan
Cable,,Ribbon Plastic Dark Grey,,Y,100,8,1,1.0,Ribbon,Plastic,Plain,Dark Grey,,Y,,,Prefabs/Cables/Ribbon_Plastic_Grey_Dark,Ribbon Plastic Dark Grey
Cable,,Ribbon Plastic Duo Black Blue,,Y,400,19,1,1.0,Ribbon,Plastic,Duo,Blue,,Y,,,Prefabs/Cables/Ribbon_Plastic_Bi_Black_Blue,Ribbon Plastic Duo Black Blue
Cable,,Ribbon Plastic Duo Black Cyan,,Y,400,21,1,1.0,Ribbon,Plastic,Duo,Cyan,,Y,,,Prefabs/Cables/Ribbon_Plastic_Bi_Black_Cyan,Ribbon Plastic Duo Black Cyan
Cable,,Ribbon Plastic Duo Black Green,,Y,400,20,1,1.0,Ribbon,Plastic,Duo,Green,,Y,,,Prefabs/Cables/Ribbon_Plastic_Bi_Black_Green,Ribbon Plastic Duo Black Green
