Part Type,Manufacturer,Part Name,HEM,In Shop,Price,Sell Price,Level,Level %,Steam Version,Platform Lock,Lighting,Size (GB),Frequency,RAM Type,Voltage,Size each (GB),Number,Price per GB,Part Name (Base),DLC2 Random Jobs,OC Base Voltage,OC Base Freq,Asset Path,Full Part Name
Memory,ADATA,ECC U-DIMM 16 GB 2133 MHz,Y,Y,155,80,15,1,,,,16,2133,DDR4 (ECC),1.25,16,1,9.3,ECC U-DIMM,,1.58,3200,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 16 GB 2133 MHz
Memory,ADATA,ECC U-DIMM 16 GB 2400 MHz,Y,Y,175,90,15,45,,,,16,2400,DDR4 (ECC),1.25,16,1,9.3,ECC U-DIMM,,1.58,3300,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 16 GB 2400 MHz
Memory,ADATA,ECC U-DIMM 16 GB 2666 MHz,Y,Y,195,97,16,15,,,,16,2666,DDR4 (ECC),1.25,16,1,9.3,ECC U-DIMM,,1.58,3400,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 16 GB 2666 MHz
Memory,ADATA,ECC U-DIMM 16 GB 2933 MHz,Y,Y,215,105,16,95,,,,16,2933,DDR4 (ECC),1.25,16,1,9.3,ECC U-DIMM,,1.58,3600,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 16 GB 2933 MHz
Memory,ADATA,ECC U-DIMM 16 GB 3200 MHz,Y,Y,230,120,17,35,,,,16,3200,DDR4 (ECC),1.25,16,1,9.3,ECC U-DIMM,,1.58,3866,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 16 GB 3200 MHz
Memory,ADATA,ECC U-DIMM 2X 128 GB 2133 MHz,Y,Y,970,710,23,25,,,,128,2133,DDR4 (ECC) 2X,1.25,128,1,9.3,ECC U-DIMM 2X,,1.58,2700,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 2X 128 GB 2133 MHz
Memory,ADATA,ECC U-DIMM 2X 128 GB 2400 MHz,Y,Y,1010,740,23,75,,,,128,2400,DDR4 (ECC) 2X,1.25,128,1,9.3,ECC U-DIMM 2X,,1.58,2900,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 2X 128 GB 2400 MHz
Memory,ADATA,ECC U-DIMM 2X 128 GB 2400 MHz,Y,Y,1010,780,24,1,,,,128,2400,DDR4 (ECC) 2X,1.25,128,1,9.3,ECC U-DIMM 2X,,1.58,2900,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 2X 128 GB 2400 MHz
Memory,ADATA,ECC U-DIMM 2X 128 GB 2666 MHz,Y,Y,1050,810,24,45,,,,128,2666,DDR4 (ECC) 2X,1.25,128,1,9.3,ECC U-DIMM 2X,,1.58,3100,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 2X 128 GB 2666 MHz
Memory,ADATA,ECC U-DIMM 2X 128 GB 2933 MHz,Y,Y,1090,810,24,45,,,,128,2933,DDR4 (ECC) 2X,1.25,128,1,9.3,ECC U-DIMM 2X,,1.58,3333,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 2X 128 GB 2933 MHz
Memory,ADATA,ECC U-DIMM 2X 128 GB 3200 MHz,Y,Y,1120,810,25,15,,,,128,3200,DDR4 (ECC) 2X,1.25,128,1,9.3,ECC U-DIMM 2X,,1.58,3550,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 2X 128 GB 3200 MHz
Memory,ADATA,ECC U-DIMM 2X 16 GB 2133 MHz,Y,Y,190,110,16,1,,,,16,2133,DDR4 (ECC) 2X,1.25,16,1,9.3,ECC U-DIMM 2X,,1.58,3500,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 2X 16 GB 2133 MHz
Memory,ADATA,ECC U-DIMM 2X 16 GB 2400 MHz,Y,Y,230,130,16,45,,,,16,2400,DDR4 (ECC) 2X,1.25,16,1,9.3,ECC U-DIMM 2X,,1.58,3650,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 2X 16 GB 2400 MHz
Memory,ADATA,ECC U-DIMM 2X 16 GB 2666 MHz,Y,Y,270,170,17,15,,,,16,2666,DDR4 (ECC) 2X,1.25,16,1,9.3,ECC U-DIMM 2X,,1.58,3750,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 2X 16 GB 2666 MHz
Memory,ADATA,ECC U-DIMM 2X 16 GB 2933 MHz,Y,Y,310,190,17,95,,,,16,2933,DDR4 (ECC) 2X,1.25,16,1,9.3,ECC U-DIMM 2X,,1.58,3900,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 2X 16 GB 2933 MHz
Memory,ADATA,ECC U-DIMM 2X 16 GB 3200 MHz,Y,Y,340,230,18,35,,,,16,3200,DDR4 (ECC) 2X,1.25,16,1,9.3,ECC U-DIMM 2X,,1.58,4100,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 2X 16 GB 3200 MHz
Memory,ADATA,ECC U-DIMM 2X 32 GB 2133 MHz,Y,Y,310,160,16,1,,,,32,2133,DDR4 (ECC) 2X,1.25,32,1,9.3,ECC U-DIMM 2X,,1.58,3100,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 2X 32 GB 2133 MHz
Memory,ADATA,ECC U-DIMM 2X 32 GB 2400 MHz,Y,Y,350,180,16,45,,,,32,2400,DDR4 (ECC) 2X,1.25,32,1,9.3,ECC U-DIMM 2X,,1.58,3200,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 2X 32 GB 2400 MHz
Memory,ADATA,ECC U-DIMM 2X 32 GB 2666 MHz,Y,Y,390,194,17,15,,,,32,2666,DDR4 (ECC) 2X,1.25,32,1,9.3,ECC U-DIMM 2X,,1.58,3300,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 2X 32 GB 2666 MHz
Memory,ADATA,ECC U-DIMM 2X 32 GB 2933 MHz,Y,Y,430,210,17,95,,,,32,2933,DDR4 (ECC) 2X,1.25,32,1,9.3,ECC U-DIMM 2X,,1.58,3500,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 2X 32 GB 2933 MHz
Memory,ADATA,ECC U-DIMM 2X 32 GB 3200 MHz,Y,Y,460,240,18,35,,,,32,3200,DDR4 (ECC) 2X,1.25,32,1,9.3,ECC U-DIMM 2X,,1.58,3766,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 2X 32 GB 3200 MHz
Memory,ADATA,ECC U-DIMM 2X 64 GB 2133 MHz,Y,Y,490,270,19,1,,,,64,2133,DDR4 (ECC) 2X,1.25,64,1,9.3,ECC U-DIMM 2X,,1.58,2900,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 2X 64 GB 2133 MHz
Memory,ADATA,ECC U-DIMM 2X 64 GB 2400 MHz,Y,Y,530,300,19,45,,,,64,2400,DDR4 (ECC) 2X,1.25,64,1,9.3,ECC U-DIMM 2X,,1.58,3100,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 2X 64 GB 2400 MHz
Memory,ADATA,ECC U-DIMM 2X 64 GB 2666 MHz,Y,Y,570,340,20,15,,,,64,2666,DDR4 (ECC) 2X,1.25,64,1,9.3,ECC U-DIMM 2X,,1.58,3300,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 2X 64 GB 2666 MHz
Memory,ADATA,ECC U-DIMM 2X 64 GB 2993 MHz,Y,Y,610,360,20,95,,,,64,2993,DDR4 (ECC) 2X,1.25,64,1,9.3,ECC U-DIMM 2X,,1.58,3300,Prefabs/RAM/ADATA/ADATA_Premier_DDR4,ADATA ECC U-DIMM 2X 64 GB 2993 MHz
